category	subcategory	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
Human Diseases	Cancer: overview	hsa05235	PD-L1 expression and PD-1 checkpoint pathway in cancer	3/13	90/8847	0.0333333333333333	22.6846153846154	7.93161726859287	0.000270482494334816	0.015906523761569	0.0133525782408907	CD3D/CD28/CD3E	3
Human Diseases	Infectious disease: parasitic	hsa05142	Chagas disease	3/13	103/8847	0.029126213592233	19.8215085884989	7.37028724832979	0.000402696804090354	0.015906523761569	0.0133525782408907	CD3D/ADCY1/CD3E	3
Organismal Systems	Immune system	hsa04660	T cell receptor signaling pathway	3/13	122/8847	0.0245901639344262	16.734552332913	6.71302145109204	0.000661485365058949	0.017419114613219	0.0146223080697241	CD3D/CD28/CD3E	3
Human Diseases	Infectious disease: viral	hsa05162	Measles	3/13	139/8847	0.0215827338129496	14.6878804648589	6.23951509960077	0.000967205179544231	0.0191023022959986	0.016035243766128	CD3D/CD28/CD3E	3
Human Diseases	Immune disease	hsa05340	Primary immunodeficiency	2/13	38/8847	0.0526315789473684	35.8178137651822	8.25080717363051	0.00136010818134587	0.0214897092652647	0.0180393295631136	CD3D/CD3E	2
Human Diseases	Infectious disease: viral	hsa05166	Human T-cell leukemia virus 1 infection	3/13	223/8847	0.0134529147982063	9.1552259399793	4.73151805281177	0.00374824675603991	0.0493519156211921	0.0414279904614937	CD3D/ADCY1/CD3E	3
Organismal Systems	Immune system	hsa04658	Th1 and Th2 cell differentiation	2/13	92/8847	0.0217391304347826	14.7943143812709	5.10190543133553	0.00774444477515395	0.0783231791754537	0.0657476387482157	CD3D/CD3E	2
Environmental Information Processing	Signaling molecules and interaction	hsa04060	Cytokine-cytokine receptor interaction	3/13	298/8847	0.0100671140939597	6.85105833763552	3.941407584283	0.00841757226920864	0.0783231791754537	0.0657476387482157	IL13RA2/CXCL9/CD27	3
Organismal Systems	Immune system	hsa04640	Hematopoietic cell lineage	2/13	99/8847	0.0202020202020202	13.7482517482518	4.8930571415089	0.00892289383011498	0.0783231791754537	0.0657476387482157	CD3D/CD3E	2
Organismal Systems	Immune system	hsa04659	Th17 cell differentiation	2/13	108/8847	0.0185185185185185	12.6025641025641	4.6537326574632	0.010549137390375	0.0833381853839622	0.0699574374309076	CD3D/CD3E	2
Organismal Systems	Nervous system	hsa04724	Glutamatergic synapse	2/13	116/8847	0.0172413793103448	11.7334217506631	4.46376827496769	0.0120973496685509	0.0868809658014112	0.0729313903462879	GRIK1/ADCY1	2
Metabolism	Nucleotide metabolism	hsa00230	Purine metabolism	2/13	128/8847	0.015625	10.6334134615385	4.21132048258136	0.0145960929731744	0.0960909454067316	0.0806626190622797	ENTPD2/ADCY1	2
Organismal Systems	Immune system	hsa04062	Chemokine signaling pathway	2/13	193/8847	0.0103626943005181	7.052212036668	3.26099993553962	0.0315319319491676	0.191617124921865	0.16085115083381	CXCL9/ADCY1	2
Human Diseases	Infectious disease: viral	hsa05169	Epstein-Barr virus infection	2/13	203/8847	0.00985221674876847	6.70481242895036	3.15426702404093	0.0346061831846267	0.195277747970394	0.16392402561139	CD3D/CD3E	2
Human Diseases	Infectious disease: viral	hsa05170	Human immunodeficiency virus 1 infection	2/13	213/8847	0.00938967136150235	6.39003250270856	3.05451041172642	0.0377952328073673	0.199054892785468	0.16709471346415	CD3D/CD3E	2
Environmental Information Processing	Signal transduction	hsa04392	Hippo signaling pathway - multiple species	1/13	29/8847	0.0344827586206897	23.4668435013263	4.64860299881684	0.0418130107621395	0.206451740638064	0.173303926185183	DCHS2	1
Human Diseases	Immune disease	hsa05330	Allograft rejection	1/13	38/8847	0.0263157894736842	17.9089068825911	4.00691815821719	0.0544575257422557	0.228969232726655	0.19220601814496	CD28	1
Human Diseases	Endocrine and metabolic disease	hsa04940	Type I diabetes mellitus	1/13	43/8847	0.0232558139534884	15.8264758497317	3.73851038660152	0.0614155236108209	0.228969232726655	0.19220601814496	CD28	1
Human Diseases	Immune disease	hsa05332	Graft-versus-host disease	1/13	44/8847	0.0227272727272727	15.4667832167832	3.69019577411515	0.0628014388985376	0.228969232726655	0.19220601814496	CD28	1
Organismal Systems	Immune system	hsa04672	Intestinal immune network for IgA production	1/13	49/8847	0.0204081632653061	13.8885400313972	3.4703736103163	0.069702723910817	0.228969232726655	0.19220601814496	CD28	1
Organismal Systems	Endocrine system	hsa04913	Ovarian steroidogenesis	1/13	51/8847	0.0196078431372549	13.3438914027149	3.39125944412249	0.0724500792098306	0.228969232726655	0.19220601814496	ADCY1	1
Human Diseases	Immune disease	hsa05320	Autoimmune thyroid disease	1/13	53/8847	0.0188679245283019	12.8403483309144	3.31646661181082	0.0751899434279121	0.228969232726655	0.19220601814496	CD28	1
Organismal Systems	Endocrine system	hsa04923	Regulation of lipolysis in adipocytes	1/13	59/8847	0.0169491525423729	11.5345501955671	3.11432136208465	0.0833647766607261	0.228969232726655	0.19220601814496	ADCY1	1
Organismal Systems	Aging	hsa04213	Longevity regulating pathway - multiple species	1/13	62/8847	0.0161290322580645	10.9764267990074	3.02389306055874	0.0874271314212626	0.228969232726655	0.19220601814496	ADCY1	1
Organismal Systems	Endocrine system	hsa04927	Cortisol synthesis and secretion	1/13	65/8847	0.0153846153846154	10.4698224852071	2.93946468051322	0.0914728618124725	0.228969232726655	0.19220601814496	ADCY1	1
Organismal Systems	Nervous system	hsa04720	Long-term potentiation	1/13	67/8847	0.0149253731343284	10.1572904707233	2.8861811099316	0.0941608104614803	0.228969232726655	0.19220601814496	ADCY1	1
Human Diseases	Cardiovascular disease	hsa05416	Viral myocarditis	1/13	69/8847	0.0144927536231884	9.8628762541806	2.83509678132572	0.0968414166639413	0.228969232726655	0.19220601814496	CD28	1
Organismal Systems	Endocrine system	hsa04918	Thyroid hormone synthesis	1/13	75/8847	0.0133333333333333	9.07384615384616	2.69356981228137	0.104839364278168	0.228969232726655	0.19220601814496	ADCY1	1
Organismal Systems	Digestive system	hsa04971	Gastric acid secretion	1/13	76/8847	0.0131578947368421	8.95445344129554	2.67152369827837	0.106165981727368	0.228969232726655	0.19220601814496	ADCY1	1
Metabolism	Global and overview maps	hsa01232	Nucleotide metabolism	1/13	85/8847	0.0117647058823529	8.00633484162896	2.4898040761672	0.118024136179975	0.228969232726655	0.19220601814496	ENTPD2	1
Organismal Systems	Sensory system	hsa04742	Taste transduction	1/13	86/8847	0.0116279069767442	7.91323792486583	2.47127078712882	0.119332705710865	0.228969232726655	0.19220601814496	ENTPD2	1
Organismal Systems	Endocrine system	hsa04911	Insulin secretion	1/13	86/8847	0.0116279069767442	7.91323792486583	2.47127078712882	0.119332705710865	0.228969232726655	0.19220601814496	ADCY1	1
Organismal Systems	Nervous system	hsa04727	GABAergic synapse	1/13	89/8847	0.0112359550561798	7.64649956784788	2.41741916018251	0.123247669165303	0.228969232726655	0.19220601814496	ADCY1	1
Organismal Systems	Aging	hsa04211	Longevity regulating pathway	1/13	90/8847	0.0111111111111111	7.56153846153846	2.40002466481367	0.124549082764396	0.228969232726655	0.19220601814496	ADCY1	1
Organismal Systems	Digestive system	hsa04976	Bile secretion	1/13	90/8847	0.0111111111111111	7.56153846153846	2.40002466481367	0.124549082764396	0.228969232726655	0.19220601814496	ADCY1	1
Human Diseases	Substance dependence	hsa05032	Morphine addiction	1/13	91/8847	0.010989010989011	7.47844463229079	2.38289561106198	0.12584871299439	0.228969232726655	0.19220601814496	ADCY1	1
Cellular Processes	Cellular community - eukaryotes	hsa04540	Gap junction	1/13	92/8847	0.0108695652173913	7.39715719063545	2.36602487908523	0.127146562095701	0.228969232726655	0.19220601814496	ADCY1	1
Organismal Systems	Endocrine system	hsa04912	GnRH signaling pathway	1/13	93/8847	0.010752688172043	7.31761786600496	2.34940561585012	0.128442632306181	0.228969232726655	0.19220601814496	ADCY1	1
Human Diseases	Immune disease	hsa05323	Rheumatoid arthritis	1/13	94/8847	0.0106382978723404	7.23977086743044	2.33303122237518	0.129736925861129	0.228969232726655	0.19220601814496	CD28	1
Organismal Systems	Environmental adaptation	hsa04713	Circadian entrainment	1/13	97/8847	0.0103092783505155	7.01586042823156	2.28531483386132	0.133609168907474	0.228969232726655	0.19220601814496	ADCY1	1
Organismal Systems	Digestive system	hsa04970	Salivary secretion	1/13	97/8847	0.0103092783505155	7.01586042823156	2.28531483386132	0.133609168907474	0.228969232726655	0.19220601814496	ADCY1	1
Organismal Systems	Endocrine system	hsa04925	Aldosterone synthesis and secretion	1/13	98/8847	0.0102040816326531	6.94427001569859	2.26985860414538	0.13489637814224	0.228969232726655	0.19220601814496	ADCY1	1
Human Diseases	Drug resistance: antineoplastic	hsa01522	Endocrine resistance	1/13	99/8847	0.0101010101010101	6.87412587412588	2.2546176625713	0.136181821859711	0.228969232726655	0.19220601814496	ADCY1	1
Organismal Systems	Sensory system	hsa04750	Inflammatory mediator regulation of TRP channels	1/13	99/8847	0.0101010101010101	6.87412587412588	2.2546176625713	0.136181821859711	0.228969232726655	0.19220601814496	ADCY1	1
Environmental Information Processing	Signaling molecules and interaction	hsa04061	Viral protein interaction with cytokine and cytokine receptor	1/13	100/8847	0.01	6.80538461538462	2.23958670463934	0.137465502279901	0.228969232726655	0.19220601814496	CXCL9	1
Organismal Systems	Endocrine system	hsa04916	Melanogenesis	1/13	101/8847	0.0099009900990099	6.73800456968774	2.22476060873504	0.138747421620288	0.228969232726655	0.19220601814496	ADCY1	1
Human Diseases	Infectious disease: parasitic	hsa05146	Amoebiasis	1/13	103/8847	0.00970873786407767	6.60716952949963	2.19570338308309	0.141305985918883	0.228969232726655	0.19220601814496	ADCY1	1
