Sample	Group
TCGA-3A-A9IO	Control
TCGA-US-A774	Treatment
TCGA-HZ-A49H	Control
TCGA-FB-A4P5	Control
TCGA-FB-AAPS	Control
TCGA-3A-A9IN	Control
TCGA-HV-A5A5	Control
TCGA-H6-8124	Treatment
TCGA-US-A77G	Control
TCGA-3A-A9IJ	Control
TCGA-HZ-A8P0	Control
TCGA-IB-7644	Treatment
TCGA-IB-A7LX	Treatment
TCGA-2J-AABK	Control
TCGA-S4-A8RP	Control
TCGA-2L-AAQM	Control
TCGA-XD-AAUG	Control
TCGA-M8-A5N4	Treatment
TCGA-2L-AAQI	Control
TCGA-HZ-7919	Control
TCGA-HZ-8005	Control
TCGA-IB-AAUM	Control
TCGA-IB-7888	Treatment
TCGA-2J-AAB9	Treatment
TCGA-2L-AAQJ	Control
TCGA-IB-AAUU	Control
TCGA-Q3-A5QY	Control
TCGA-FB-AAQ1	Control
TCGA-HV-A5A3	Control
TCGA-IB-AAUO	Treatment
TCGA-IB-8127	Treatment
TCGA-FB-A545	Treatment
TCGA-YH-A8SY	Control
TCGA-IB-A5SQ	Treatment
TCGA-HV-A7OP	Treatment
TCGA-FB-AAQ6	Treatment
TCGA-FB-AAQ2	Treatment
TCGA-US-A77J	Control
TCGA-F2-7273	Treatment
TCGA-3A-A9I9	Treatment
TCGA-IB-7654	Control
TCGA-IB-7893	Treatment
TCGA-S4-A8RM	Control
TCGA-IB-AAUW	Treatment
TCGA-FB-AAPZ	Treatment
TCGA-IB-AAUS	Control
TCGA-F2-6879	Treatment
TCGA-3A-A9IS	Control
TCGA-L1-A7W4	Treatment
TCGA-FB-A7DR	Control
TCGA-2J-AABO	Treatment
TCGA-3A-A9IH	Treatment
TCGA-PZ-A5RE	Treatment
TCGA-HZ-8003	Treatment
TCGA-3A-A9IB	Control
TCGA-H6-A45N	Treatment
TCGA-HZ-8001	Control
TCGA-IB-A7M4	Control
TCGA-2J-AABP	Control
TCGA-HZ-A77Q	Control
TCGA-HZ-7926	Treatment
TCGA-XN-A8T5	Treatment
TCGA-IB-A5ST	Control
TCGA-Z5-AAPL	Control
TCGA-IB-7652	Control
TCGA-IB-7886	Control
TCGA-FB-AAQ0	Control
TCGA-IB-7897	Treatment
TCGA-2J-AABH	Treatment
TCGA-IB-AAUT	Control
TCGA-HV-A5A4	Control
TCGA-US-A779	Control
TCGA-FB-AAPP	Treatment
TCGA-HV-A5A6	Treatment
TCGA-IB-7887	Control
TCGA-FB-A78T	Control
TCGA-IB-7646	Treatment
TCGA-RL-AAAS	Control
TCGA-US-A77E	Treatment
TCGA-HZ-8636	Control
TCGA-IB-AAUP	Control
TCGA-IB-7885	Control
TCGA-IB-AAUR	Treatment
TCGA-IB-7889	Treatment
TCGA-F2-A8YN	Control
TCGA-3E-AAAZ	Treatment
TCGA-HZ-8637	Control
TCGA-HZ-A4BH	Control
TCGA-3A-A9I5	Control
TCGA-XD-AAUL	Control
TCGA-HZ-7923	Control
TCGA-2J-AABE	Control
TCGA-FB-AAPU	Control
TCGA-3A-A9IC	Control
TCGA-2J-AABI	Treatment
TCGA-HZ-A77O	Treatment
TCGA-YY-A8LH	Control
TCGA-3E-AAAY	Treatment
TCGA-3A-A9IZ	Treatment
TCGA-IB-A6UG	Control
TCGA-FB-A5VM	Treatment
TCGA-RB-AA9M	Treatment
TCGA-HZ-A49G	Control
TCGA-HV-AA8X	Treatment
TCGA-LB-A7SX	Control
TCGA-HZ-7922	Control
TCGA-2J-AABV	Treatment
TCGA-IB-AAUN	Treatment
TCGA-2L-AAQA	Control
TCGA-IB-A6UF	Treatment
TCGA-HV-A7OL	Treatment
TCGA-IB-7651	Treatment
TCGA-2J-AABU	Treatment
TCGA-XN-A8T3	Treatment
TCGA-HV-AA8V	Treatment
TCGA-S4-A8RO	Treatment
TCGA-IB-8126	Treatment
TCGA-2J-AABF	Treatment
TCGA-US-A776	Control
TCGA-2J-AABT	Control
TCGA-IB-7891	Treatment
TCGA-XD-AAUI	Treatment
TCGA-RB-A7B8	Treatment
TCGA-XD-AAUH	Treatment
TCGA-2J-AAB6	Treatment
TCGA-2J-AAB4	Control
TCGA-FB-A4P6	Treatment
TCGA-IB-AAUV	Control
TCGA-3A-A9IL	Control
TCGA-IB-AAUQ	Treatment
TCGA-FB-AAPQ	Control
TCGA-IB-A5SS	Treatment
TCGA-IB-7645	Treatment
TCGA-2J-AAB1	Control
TCGA-IB-A5SP	Treatment
TCGA-OE-A75W	Treatment
TCGA-F2-7276	Control
TCGA-3A-A9IX	Control
TCGA-3A-A9IV	Control
TCGA-HZ-8315	Control
TCGA-Q3-AA2A	Control
TCGA-HZ-7925	Treatment
TCGA-HZ-7289	Treatment
TCGA-HZ-8519	Control
TCGA-F2-A44G	Treatment
TCGA-HZ-8638	Control
TCGA-3A-A9IU	Treatment
TCGA-2J-AABR	Treatment
TCGA-2J-AABA	Treatment
TCGA-F2-6880	Control
TCGA-F2-A7TX	Control
TCGA-HZ-A4BK	Control
TCGA-HZ-A77P	Control
TCGA-3A-A9J0	Treatment
TCGA-HZ-A8P1	Control
TCGA-2L-AAQL	Control
TCGA-HZ-8317	Control
TCGA-HZ-7920	Control
TCGA-HZ-A49I	Control
TCGA-HZ-A9TJ	Treatment
TCGA-IB-7649	Treatment
TCGA-LB-A8F3	Control
TCGA-2J-AAB8	Control
TCGA-3A-A9IR	Control
TCGA-2L-AAQE	Control
TCGA-3A-A9I7	Treatment
TCGA-IB-7890	Treatment
TCGA-LB-A9Q5	Treatment
TCGA-HZ-7924	Treatment
TCGA-HZ-8002	Control
TCGA-FB-AAPY	Control
TCGA-F2-A44H	Control
TCGA-IB-A5SO	Treatment
TCGA-FB-AAQ3	Control
TCGA-HZ-7918	Treatment
TCGA-H8-A6C1	Treatment
