Sample_Name	Feature_1	Feature_2	Feature_3	Feature_4	Feature_5	Label
Sample_001	1.23	4.56	7.89	2.34	5.67	0
Sample_002	2.34	5.67	8.90	3.45	6.78	1
Sample_003	3.45	6.78	9.01	4.56	7.89	0
Sample_004	4.56	7.89	0.12	5.67	8.90	2
Sample_005	5.67	8.90	1.23	6.78	9.01	1
Sample_006	6.78	9.01	2.34	7.89	0.12	0
Sample_007	7.89	0.12	3.45	8.90	1.23	2
Sample_008	8.90	1.23	4.56	9.01	2.34	1
Sample_009	9.01	2.34	5.67	0.12	3.45	0
Sample_010	0.12	3.45	6.78	1.23	4.56	2
Sample_011	1.34	5.67	8.90	2.45	6.78	1
Sample_012	2.45	6.78	9.01	3.56	7.89	0
Sample_013	3.56	7.89	0.12	4.67	8.90	2
Sample_014	4.67	8.90	1.23	5.78	9.01	1
Sample_015	5.78	9.01	2.34	6.89	0.12	0
Sample_016	6.89	0.12	3.45	7.90	1.23	2
Sample_017	7.90	1.23	4.56	8.01	2.34	1
Sample_018	8.01	2.34	5.67	9.12	3.45	0
Sample_019	9.12	3.45	6.78	0.23	4.56	2
Sample_020	0.23	4.56	7.89	1.34	5.67	1
Sample_021	1.45	6.78	9.01	2.56	7.89	0
Sample_022	2.56	7.89	0.12	3.67	8.90	2
Sample_023	3.67	8.90	1.23	4.78	9.01	1
Sample_024	4.78	9.01	2.34	5.89	0.12	0
Sample_025	5.89	0.12	3.45	6.90	1.23	2
Sample_026	6.90	1.23	4.56	7.01	2.34	1
Sample_027	7.01	2.34	5.67	8.12	3.45	0
Sample_028	8.12	3.45	6.78	9.23	4.56	2
Sample_029	9.23	4.56	7.89	0.34	5.67	1
Sample_030	0.34	5.67	8.90	1.45	6.78	0
Sample_031	1.56	7.89	0.12	2.67	8.90	2
Sample_032	2.67	8.90	1.23	3.78	9.01	1
Sample_033	3.78	9.01	2.34	4.89	0.12	0
Sample_034	4.89	0.12	3.45	5.90	1.23	2
Sample_035	5.90	1.23	4.56	6.01	2.34	1
Sample_036	6.01	2.34	5.67	7.12	3.45	0
Sample_037	7.12	3.45	6.78	8.23	4.56	2
Sample_038	8.23	4.56	7.89	9.34	5.67	1
Sample_039	9.34	5.67	8.90	0.45	6.78	0
Sample_040	0.45	6.78	9.01	1.56	7.89	2
Sample_041	1.67	8.90	0.12	2.78	9.01	Unknown
Sample_042	2.78	9.01	1.23	3.89	0.12	Unknown
Sample_043	3.89	0.12	2.34	4.90	1.23	Unknown
Sample_044	4.90	1.23	3.45	5.01	2.34	Unknown
Sample_045	5.01	2.34	4.56	6.12	3.45	Unknown
Sample_046	6.12	3.45	5.67	7.23	4.56	Unknown
Sample_047	7.23	4.56	6.78	8.34	5.67	Unknown
Sample_048	8.34	5.67	7.89	9.45	6.78	Unknown
Sample_049	9.45	6.78	8.90	0.56	7.89	Unknown
Sample_050	0.56	7.89	9.01	1.67	8.90	Unknown
Sample_051	1.78	9.01	0.12	2.89	0.12	Unknown
Sample_052	2.89	0.12	1.23	3.90	1.23	Unknown
Sample_053	3.90	1.23	2.34	4.01	2.34	Unknown
Sample_054	4.01	2.34	3.45	5.12	3.45	Unknown
Sample_055	5.12	3.45	4.56	6.23	4.56	Unknown
Sample_056	6.23	4.56	5.67	7.34	5.67	Unknown
Sample_057	7.34	5.67	6.78	8.45	6.78	Unknown
Sample_058	8.45	6.78	7.89	9.56	7.89	Unknown
Sample_059	9.56	7.89	8.90	0.67	8.90	Unknown
Sample_060	0.67	8.90	9.01	1.78	9.01	Unknown
Sample_061	5.90	1.23	4.56	6.01	2.34	1
Sample_062	6.01	2.34	5.67	7.12	3.45	0
Sample_063	7.12	3.45	6.78	8.23	4.56	2
Sample_064	8.23	4.56	7.89	9.34	5.67	1
Sample_065	9.34	5.67	8.90	0.45	6.78	0
Sample_066	0.45	6.78	9.01	1.56	7.89	2
